Job	Dataset	Archive Folder Path	Tool
206392	AID_STM_019_110804_25_LTQ_17Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_25_LTQ_17Dec04_Earth_1004-10	XTandem
206391	AID_STM_019_110804_24_LTQ_17Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_24_LTQ_17Dec04_Earth_1004-9	XTandem
206390	AID_STM_019_110804_23_LTQ_16Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_23_LTQ_16Dec04_Earth_1004-10	XTandem
206389	AID_STM_019_110804_22_LTQ_16Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_22_LTQ_16Dec04_Earth_1004-9	XTandem
206388	AID_STM_019_110804_21_LTQ_16Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_21_LTQ_16Dec04_Earth_1004-10	XTandem
206387	AID_STM_019_110804_20_LTQ_16Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_20_LTQ_16Dec04_Earth_1004-9	XTandem
206386	AID_STM_019_110804_19_LTQ_16Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_19_LTQ_16Dec04_Earth_1004-10	XTandem
206385	AID_STM_019_110804_18_LTQ_16Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_18_LTQ_16Dec04_Earth_1004-9	XTandem
206384	AID_STM_019_110804_17_LTQ_16Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_17_LTQ_16Dec04_Earth_1004-10	XTandem
206383	AID_STM_019_110804_16_LTQ_16Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_16_LTQ_16Dec04_Earth_1004-9	XTandem
206382	AID_STM_019_110804_15_LTQ_16Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_15_LTQ_16Dec04_Earth_1004-10	XTandem
206381	AID_STM_019_110804_14_LTQ_15Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_14_LTQ_15Dec04_Earth_1004-9	XTandem
206380	AID_STM_019_110804_13_LTQ_15Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_13_LTQ_15Dec04_Earth_1004-10	XTandem
206379	AID_STM_019_110804_12_LTQ_15Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_12_LTQ_15Dec04_Earth_1004-9	XTandem
206377	AID_STM_019_110804_10_LTQ_15Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_10_LTQ_15Dec04_Earth_1004-9	XTandem
206378	AID_STM_019_110804_11_LTQ_15Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_11_LTQ_15Dec04_Earth_1004-10	XTandem
206376	AID_STM_019_110804_09_LTQ_15Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_09_LTQ_15Dec04_Earth_1004-10	XTandem
206375	AID_STM_019_110804_08_LTQ_15Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_08_LTQ_15Dec04_Earth_1004-9	XTandem
206374	AID_STM_019_110804_07_LTQ_15Dec04_Earth_1004-10	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_07_LTQ_15Dec04_Earth_1004-10	XTandem
206373	AID_STM_019_110804_06_LTQ_15Dec04_Earth_1004-9	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_06_LTQ_15Dec04_Earth_1004-9	XTandem
206372	AID_STM_019_110804_05_LTQ_14Dec04_Earth_0904-8	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_05_LTQ_14Dec04_Earth_0904-8	XTandem
206371	AID_STM_019_110804_04_LTQ_14Dec04_Earth_0904-7	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_04_LTQ_14Dec04_Earth_0904-7	XTandem
206370	AID_STM_019_110804_03_LTQ_14Dec04_Earth_0904-8	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_03_LTQ_14Dec04_Earth_0904-8	XTandem
206369	AID_STM_019_110804_02_LTQ_14Dec04_Earth_0904-7	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_02_LTQ_14Dec04_Earth_0904-7	XTandem
206368	AID_STM_019_110804_01_LTQ_14Dec04_Earth_0904-8	f:\Data_Disc\Software_Installers\MTDBCreator\data\AID_STM_019_110804_01_LTQ_14Dec04_Earth_0904-8	XTandem
